station,horizon,n,rmse,mae,r2
Espoo Leppävaara Läkkisepänkuja,6,1631,3.584134421508065,2.085914777476288,0.43541461664639114
Espoo Leppävaara Läkkisepänkuja,12,1628,4.194761797114342,2.5239726852366924,0.22887296121659761
Espoo Leppävaara Läkkisepänkuja,24,1625,4.491762141197499,2.8067156786503618,0.11790678649593267
Espoo Leppävaara Läkkisepänkuja,48,1621,4.88955211185199,3.118790129804587,-0.04515282402800591
Espoo Luukki,6,1675,2.7165724398625404,1.489352673997299,0.47043609844119094
Espoo Luukki,12,1673,3.0136628107107506,1.8048800061003167,0.3536066125062006
Espoo Luukki,24,1673,3.3047831495392903,2.09098789842342,0.2178592568655383
Espoo Luukki,48,1672,3.507863684266215,2.3101171348841665,0.059839861372928516
Harjavalta Kaleva,6,1702,2.5145268114087664,1.6192356049788499,0.5389012650002378
Harjavalta Kaleva,12,1702,2.8350058600842605,1.8875391234232408,0.4119935551436492
Harjavalta Kaleva,24,1702,3.13743217689678,2.126235232120961,0.28318863719033993
Harjavalta Kaleva,48,1702,3.3948839455748474,2.3071501768999765,0.1264331111886432
Helsinki Kallio 2,6,1605,3.0192300704483017,2.098608575542535,0.2833125581505881
Helsinki Kallio 2,12,1601,3.349942567836855,2.3887359713034604,0.11952301478954974
Helsinki Kallio 2,24,1598,3.5121129257337436,2.5355438494618014,0.025247379491123878
Helsinki Kallio 2,48,1596,3.7433028106751483,2.7231725897346264,-0.11586129679910173
Helsinki Mannerheimintie,6,1712,3.2545039503825968,2.0493938981590865,0.48370832211026005
Helsinki Mannerheimintie,12,1712,3.770841790701657,2.4990896529394457,0.30747776420635364
Helsinki Mannerheimintie,24,1712,4.074142512417237,2.757235466094487,0.19160924248642253
Helsinki Mannerheimintie,48,1712,4.491038045761461,3.0820083029847947,0.02687955985033086
Helsinki Mäkelänkatu,6,1691,3.4502620793769423,2.180015247745831,0.4101043133610096
Helsinki Mäkelänkatu,12,1690,4.019177773642658,2.6375534004635677,0.19415000752451161
Helsinki Mäkelänkatu,24,1687,4.297731719712314,2.858485703740963,0.08103474143051947
Helsinki Mäkelänkatu,48,1683,4.666796717725257,3.1449157617129515,-0.07655521242731367
Helsinki Vartiokylä Huivipolku,6,1695,2.93453627599865,1.7920221678615738,0.45372127883128677
Helsinki Vartiokylä Huivipolku,12,1694,3.414277788947552,2.155170547147789,0.25970949049728187
Helsinki Vartiokylä Huivipolku,24,1692,3.6616081040445816,2.399380897360738,0.14480953093601
Helsinki Vartiokylä Huivipolku,48,1692,3.960539055521099,2.6602265362010655,0.002926833764426817
Imatra Teppanala,6,1632,3.7153900105412148,2.3292026744296703,0.2711340035674671
Imatra Teppanala,12,1631,4.1003424246862235,2.6837944901805257,0.11297130654780274
Imatra Teppanala,24,1629,4.263129091613704,2.8478695750625396,0.04580630319403001
Imatra Teppanala,48,1626,4.524157007386639,3.0275707283508764,-0.0927834170138746
Jyväskylä Hannikaisenkatu,6,1690,3.7055912587608715,1.9222968204782636,0.4411713893331237
Jyväskylä Hannikaisenkatu,12,1689,4.1566477078853525,2.2818538054747295,0.29603137951354075
Jyväskylä Hannikaisenkatu,24,1689,4.4204662162259485,2.489428111756035,0.20188441725233752
Jyväskylä Hannikaisenkatu,48,1688,4.707071357468069,2.7539269451290935,0.07867081085724703
Kotka Kirjastotalo,6,1685,2.8012589915225563,1.769879449023416,0.5796770827476198
Kotka Kirjastotalo,12,1683,3.4582656968090073,2.189800490934904,0.35913142005043364
Kotka Kirjastotalo,24,1681,3.7837989814943893,2.475896646475518,0.19913129423214204
Kotka Kirjastotalo,48,1678,4.094172051072355,2.7827719198940466,0.059688956041134555
Kouvola Kankaan Koulu,6,1446,2.5438822499621545,1.752937291606837,0.3294303197618631
Kouvola Kankaan Koulu,12,1434,2.834052133151467,1.9829935850159504,0.17388087686574583
Kouvola Kankaan Koulu,24,1434,3.079387368080956,2.1754916331130665,0.03353019884415187
Kouvola Kankaan Koulu,48,1430,3.2415158607921284,2.315292488649695,-0.07770924688077119
Kuopio Niirala,6,1702,2.8412013921331067,1.7571845813067166,0.46580880761843646
Kuopio Niirala,12,1701,3.084663644305348,2.0001064485050164,0.36194708884355276
Kuopio Niirala,24,1700,3.3375573317104155,2.186930398172284,0.257229996163151
Kuopio Niirala,48,1700,3.6406330719968008,2.436051223685358,0.12794725709708654
Kuopio Savilahti KYS,6,1643,4.549873399864405,2.0790146313578455,0.27064696430028023
Kuopio Savilahti KYS,12,1639,4.6181349732766765,2.4168515847560155,0.21649340914524473
Kuopio Savilahti KYS,24,1633,4.914083539476451,2.7014555708077603,0.09594784749843621
Kuopio Savilahti KYS,48,1629,5.434013671970543,3.0486081539104024,-0.040361808482153316
Kuopio Tasavallankatu,6,1705,4.311542668478647,2.3000530565334154,0.3466639007521978
Kuopio Tasavallankatu,12,1705,4.633630231686207,2.6320470133154217,0.2435696530683099
Kuopio Tasavallankatu,24,1705,4.805977568672507,2.841714451953774,0.18292011014752063
Kuopio Tasavallankatu,48,1705,5.177605844680752,3.1253591998590777,0.05477710186603291
Lappeenranta Pulp,6,1660,4.375588761866915,2.467441543198146,0.2578794364513852
Lappeenranta Pulp,12,1658,4.904983357166498,2.7951626875712208,0.0727182359375872
Lappeenranta Pulp,24,1656,5.314599998520209,3.077206570868285,-0.0763413017474377
Lappeenranta Pulp,48,1657,5.382654259621613,3.2176519461511095,-0.11479450648415535
Raisio Ihala,6,1660,3.06261804157939,1.8098852130958685,0.24529930910929432
Raisio Ihala,12,1659,3.4017781585646722,2.0574678225184058,0.0953133912213775
Raisio Ihala,24,1657,3.4871569329128356,2.169268556073899,0.0865193358689178
Raisio Ihala,48,1656,3.866726041606207,2.4313180107254797,-0.1155400712824799
Tampere Epila 2,6,1609,2.467476049204125,1.6962540689557937,0.38414265582938967
Tampere Epila 2,12,1608,2.8217962085970907,2.00132352431481,0.20324499349694403
Tampere Epila 2,24,1608,2.8683993982958063,2.051808558249445,0.17246792661225063
Tampere Epila 2,48,1608,3.1010219276353896,2.2354989342845983,0.04814048301503382
Vantaa Tikkurila Neilikkatie,6,1672,4.252552156192971,2.366811671636013,0.1861298346744833
Vantaa Tikkurila Neilikkatie,12,1672,4.636903681064944,2.6261909082448454,0.02309942657185371
Vantaa Tikkurila Neilikkatie,24,1672,4.664409416750564,2.804351508561849,0.012815251303206154
Vantaa Tikkurila Neilikkatie,48,1672,4.9512997855032435,3.020584857646401,-0.14970982062718208
